,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,77.4,72,89,4.81,PF,1611923653
1,Busselton,-33.65,115.3333,71.01,70,0,1.99,AU,1611923653
2,San Patricio,28.017,-97.5169,51.8,87,1,6.11,US,1611923655
3,Yellowknife,62.456,-114.3525,-23.8,76,1,6.91,CA,1611923655
4,Bredasdorp,-34.5322,20.0403,78.01,53,0,1.01,ZA,1611923656
5,Ushuaia,-54.8,-68.3,39.2,81,75,23.02,AR,1611923485
6,Korla,41.7597,86.1469,26.01,81,0,2.26,CN,1611923657
7,George Town,5.4112,100.3354,86.0,74,20,3.44,MY,1611923628
8,Raton,36.9034,-104.4391,19.4,73,1,10.36,US,1611923659
9,Mount Gambier,-37.8333,140.7667,57.2,94,16,6.91,AU,1611923659
10,Tuktoyaktuk,69.4541,-133.0374,-28.48,83,3,6.49,CA,1611923660
11,Port Alfred,-33.5906,26.891,73.99,77,0,4.0,ZA,1611923661
12,Chaman,30.9236,66.4512,49.23,40,62,1.41,PK,1611923596
13,Husavik,66.0449,-17.3389,5.0,85,0,3.44,IS,1611923663
14,Jamestown,42.097,-79.2353,17.01,85,90,8.05,US,1611923397
15,Thompson,55.7435,-97.8558,-4.0,77,75,3.44,CA,1611923665
16,Vila Velha,-20.3297,-40.2925,86.0,62,40,12.66,BR,1611923560
17,Chokurdakh,70.6333,147.9167,-19.8,87,100,7.83,RU,1611923666
18,Atuona,-9.8,-139.0333,78.08,77,10,17.98,PF,1611923666
19,Mataura,-46.1927,168.8643,48.0,80,73,8.01,NZ,1611923667
20,Sena Madureira,-9.0656,-68.6569,74.93,94,100,2.73,BR,1611923668
21,Yumen,40.2833,97.2,24.82,75,0,12.44,CN,1611923669
22,Vestmannaeyjar,63.4427,-20.2734,37.4,75,75,9.22,IS,1611923670
23,Pisco,-13.7,-76.2167,70.0,83,87,3.44,PE,1611923670
24,Kidal,18.4411,1.4078,83.28,13,0,15.23,ML,1611923672
25,Butaritari,3.0707,172.7902,80.42,79,100,18.75,KI,1611923672
26,Puerto Ayora,-0.7393,-90.3518,75.99,95,62,4.0,EC,1611923673
27,Turukhansk,65.8167,87.9833,-27.56,79,100,7.4,RU,1611923674
28,Upernavik,72.7868,-56.1549,-10.48,79,0,13.33,GL,1611923674
29,Cape Town,-33.9258,18.4232,77.0,44,0,13.8,ZA,1611923656
30,Saint George,37.1041,-113.5841,46.4,42,1,14.97,US,1611923676
31,Hithadhoo,-0.6,73.0833,82.83,71,37,8.52,MV,1611923676
32,Castro,-24.7911,-50.0119,65.32,95,100,4.41,BR,1611923677
33,Albany,42.6001,-73.9662,3.0,51,98,3.0,US,1611923678
34,Khasan,42.4308,130.6434,5.4,83,0,14.43,RU,1611923678
35,Riyadh,24.6877,46.7219,82.4,16,0,9.22,SA,1611923679
36,Provideniya,64.3833,-173.3,-8.81,83,100,9.82,RU,1611923679
37,Hobart,-42.8794,147.3294,62.01,88,75,8.05,AU,1611923408
38,Nikolskoye,59.7035,30.7861,30.99,100,75,6.71,RU,1611923681
39,Hermanus,-34.4187,19.2345,78.01,53,0,1.01,ZA,1611923683
40,Hakkâri Province,37.5833,44.1667,37.4,60,75,8.05,TR,1611923684
41,Kapan,39.2075,46.4058,47.7,59,3,1.57,AM,1611923685
42,Pokhara,28.2333,83.9833,51.76,42,0,5.06,NP,1611923485
43,Dubbo,-32.25,148.6167,75.2,69,20,12.66,AU,1611923671
44,Mahébourg,-20.4081,57.7,86.0,66,40,12.66,MU,1611923687
45,Sarakhs,36.5449,61.1577,77.0,13,0,4.61,IR,1611923688
46,Ericeira,38.9627,-9.4156,55.99,94,75,11.5,PT,1611923689
47,Atasū,48.6814,71.6433,21.61,90,0,7.31,KZ,1611923691
48,Esperance,-33.8667,121.9,62.6,77,0,13.8,AU,1611923692
49,Ourém,39.6417,-8.5919,59.0,82,75,5.75,PT,1611923695
50,Qaanaaq,77.484,-69.3632,-14.21,60,0,5.79,GL,1611923696
51,Bluff,-46.6,168.3333,48.0,80,79,8.01,NZ,1611923696
52,Cherskiy,68.75,161.3,-28.01,83,100,4.29,RU,1611923698
53,Vaini,-21.2,-175.2,75.2,94,90,2.3,TO,1611923699
54,Petropavlovsk-Kamchatskiy,53.0452,158.6483,10.4,72,100,6.71,RU,1611923498
55,Coahuayana Viejo,18.7333,-103.6833,72.57,58,27,2.26,MX,1611923700
56,Tasiilaq,65.6145,-37.6368,21.2,93,90,8.05,GL,1611923702
57,Saint-Philippe,-21.3585,55.7679,89.6,51,75,6.91,RE,1611923703
58,Mandalgovi,45.7625,106.2708,16.0,88,1,13.76,MN,1611923704
59,Westport,41.1415,-73.3579,12.99,52,1,16.11,US,1611923577
60,Murwāra,23.85,80.4,61.45,28,0,7.07,IN,1611923706
61,Ilulissat,69.2167,-51.1,-2.22,70,0,1.21,GL,1611923707
62,Santa Eulalia,-11.85,-76.6833,75.0,83,0,2.3,PE,1611923708
63,Denpasar,-8.65,115.2167,78.8,94,75,12.66,ID,1611923541
64,Lebu,-37.6167,-73.65,59.47,97,95,7.67,CL,1611923709
65,Henties Bay,-22.116,14.2845,68.94,72,62,10.71,NA,1611923711
66,Swan Hill,-35.3378,143.5544,73.58,72,61,4.63,AU,1611923712
67,Gizo Government Station,-8.103,156.8419,82.11,75,100,6.26,SB,1611923712
68,Severo-Kuril'sk,50.6789,156.125,23.09,93,100,22.75,RU,1611923713
69,Likasi,-10.9814,26.7333,78.13,67,94,5.06,CD,1611923714
70,Barrow,71.2906,-156.7887,-18.4,76,1,9.22,US,1611923715
71,Province of Mantua,45.1667,10.7833,41.0,79,100,0.67,IT,1611923716
72,Bambous Virieux,-20.3428,57.7575,86.0,66,40,12.66,MU,1611923716
73,Makkah al Mukarramah,21.4267,39.8261,78.58,45,10,15.99,SA,1611923582
74,Xam Nua,20.4197,104.0439,52.9,92,19,2.24,LA,1611923718
75,Ambon City,-3.6954,128.1814,82.4,74,40,5.75,ID,1611923719
76,Hasaki,35.7333,140.8333,37.4,38,20,10.36,JP,1611923720
77,Kiama,-34.6833,150.8667,69.01,95,100,15.01,AU,1611923721
78,Tumbes,-3.5667,-80.4414,75.2,94,90,2.3,PE,1611923722
79,New Norfolk,-42.7826,147.0587,62.01,82,100,2.42,AU,1611923724
80,Fort Nelson,58.8053,-122.7002,-20.2,76,20,4.61,CA,1611923726
81,Aklavik,68.2191,-135.0107,-27.4,75,1,4.61,CA,1611923727
82,Dikson,73.5069,80.5464,-33.25,85,3,3.65,RU,1611923728
83,Faanui,-16.4833,-151.75,80.74,69,0,9.93,PF,1611923728
84,Bethel,41.3712,-73.414,9.0,52,75,10.36,US,1611923729
85,Cartagena,10.3997,-75.5144,77.0,83,0,10.36,CO,1611923489
86,Winslow,35.0242,-110.6974,28.4,80,1,13.78,US,1611923640
87,Guerrero Negro,27.9769,-114.0611,55.87,79,3,8.21,MX,1611923731
88,Sabang,5.8933,95.3214,81.88,79,100,16.51,ID,1611923732
89,Kaeo,-35.1,173.7833,55.99,79,0,4.0,NZ,1611923732
90,Burlington,39.8835,-74.6413,24.01,49,40,26.46,US,1611923733
91,Catuday,16.2923,119.8062,75.34,72,6,9.15,PH,1611923735
92,Khatanga,71.9667,102.5,-48.71,74,0,1.52,RU,1611923735
93,Dingle,10.9995,122.6711,74.28,88,84,11.65,PH,1611923737
94,Punta Arenas,-53.15,-70.9167,42.8,61,0,12.66,CL,1611923738
95,Olafsvik,64.8945,-23.7142,33.75,86,100,6.96,IS,1611923738
96,Beeville,28.4008,-97.7483,44.6,100,1,5.75,US,1611923739
97,Villa Carlos Paz,-31.4241,-64.4978,64.99,95,100,3.36,AR,1611923740
98,Geraldton,-28.7667,114.6,77.0,69,0,18.41,AU,1611923643
99,Matagami,49.7502,-77.6328,1.4,85,90,10.36,CA,1611923741
100,Grand Gaube,-20.0064,57.6608,84.99,68,3,5.01,MU,1611923744
101,Srednekolymsk,67.45,153.6833,-27.33,85,100,4.47,RU,1611923745
102,Buala,-8.145,159.5921,78.93,84,100,5.35,SB,1611923746
103,Prince Rupert,54.3161,-130.3201,33.8,86,90,3.44,CA,1611923746
104,Escanaba,45.7453,-87.0646,-5.8,92,1,3.06,US,1611923747
105,Māngrol,21.1167,70.1167,73.78,42,8,10.6,IN,1611923747
106,Esil,51.9556,66.4042,20.77,92,84,9.06,KZ,1611923748
107,Kapaa,22.0752,-159.319,71.6,83,75,14.97,US,1611923749
108,Krasnosel'kup,65.7,82.4667,-22.88,86,100,9.13,RU,1611923751
109,Hilo,19.7297,-155.09,64.99,72,40,6.91,US,1611923752
110,Kahului,20.8947,-156.47,69.8,78,40,14.97,US,1611923753
111,Saldanha,-33.0117,17.9442,68.52,68,0,15.59,ZA,1611923754
112,Namatanai,-3.6667,152.4333,81.48,80,46,8.9,PG,1611923755
113,Kavaratti,10.5669,72.642,81.57,66,0,7.29,IN,1611923756
114,East London,-33.0153,27.9116,77.0,65,20,11.5,ZA,1611923757
115,Tuatapere,-46.1333,167.6833,48.0,80,33,8.01,NZ,1611923758
116,Haradok,55.4624,29.9816,28.4,93,90,6.71,BY,1611923759
117,Port Hardy,50.6996,-127.4199,41.0,93,20,3.44,CA,1611923759
118,Olenegorsk,68.15,33.3,10.99,76,100,2.37,RU,1611923760
119,Luanda,-8.8368,13.2343,91.4,55,75,11.5,AO,1611923596
120,Porto-Novo,6.4965,2.6036,89.6,66,40,10.36,BJ,1611923762
121,Torbay,47.6666,-52.7314,27.0,86,90,6.91,CA,1611923728
122,Ribeira Grande,38.5167,-28.7,62.6,67,40,20.71,PT,1611923763
123,Norman Wells,65.282,-126.8329,-41.8,74,20,4.61,CA,1611923764
124,Baghmara,23.795,86.2085,66.58,32,0,7.36,IN,1611923765
125,San Cristobal,7.7669,-72.225,71.6,83,20,1.1,VE,1611923766
126,Genhe,50.7833,121.5167,-20.38,84,93,3.47,CN,1611923767
127,Watertown,42.3709,-71.1828,9.0,51,1,17.27,US,1611923579
128,Atchison,39.563,-95.1216,28.99,90,0,10.33,US,1611923769
129,Assiniboia,49.6334,-105.9845,17.6,79,38,10.36,CA,1611923770
130,Ketchikan,55.3422,-131.6461,28.4,64,90,5.68,US,1611923771
131,Constitución,-35.3333,-72.4167,61.59,88,100,8.84,CL,1611923771
132,Richards Bay,-28.783,32.0377,81.45,66,7,9.86,ZA,1611923773
133,Cockburn Town,21.4612,-71.1419,72.88,80,91,22.62,TC,1611923774
134,Wajima,37.4,136.9,31.68,93,100,31.36,JP,1611923775
135,Toora-Khem,52.4675,96.11,19.44,95,97,3.06,RU,1611923776
136,Tierra Nueva,21.6833,-100.5667,44.82,80,98,0.69,MX,1611923777
137,Chapais,49.7834,-74.8492,-4.0,84,90,4.61,CA,1611923561
138,Khāsh,28.2211,61.2158,63.14,20,0,7.18,IR,1611923778
139,Fortuna,40.5982,-124.1573,39.0,100,90,6.91,US,1611923779
140,Kristiansund,63.1115,7.732,33.8,69,75,14.97,NO,1611923783
141,Beyşehir,37.6773,31.7246,35.73,70,21,6.35,TR,1611923783
142,Tobane,-21.95,27.9,77.0,78,75,5.75,BW,1611923784
143,Paamiut,61.994,-49.6678,36.54,75,99,8.99,GL,1611923784
144,Hamilton,39.1834,-84.5333,21.99,86,1,1.36,US,1611923785
145,Kiunga,-6.1219,141.2906,74.91,97,100,3.11,PG,1611923786
146,Port Blair,11.6667,92.75,79.92,81,100,7.4,IN,1611923787
147,Shelburne,44.0787,-80.2041,8.01,92,90,9.17,CA,1611923579
148,Alofi,-19.0595,-169.9187,77.0,94,100,6.91,NU,1611923788
149,Lagos,6.5833,3.75,89.6,66,40,3.44,NG,1611923653
150,Arraial do Cabo,-22.9661,-42.0278,86.0,58,0,13.8,BR,1611923790
151,Giohar,2.7809,45.5005,93.29,30,27,20.65,SO,1611923790
